Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2,rating,sentiment,YearMonth,남자 인구수,여자 인구수,총인구수,가계지출,소비지출,비소비지출,ViewCount,LikeCount,Actor1,Actor2,Actor3,Month,GENRE1,GENRE2
메가로돈 2,2023-08-15,1314843169,0.001,1314843169,125935,125935,415,7812,미국,미국,,워너브러더스 코리아(주),12세이상관람가,벤 휘틀리,1677.0,1.0,제이슨 스타뎀,오경,,액션,,2.5,27.64,2023.08,25596921.0,25780292.0,51377213.0,1874.0,1597.0,277.0,166139.0,563.0,667462.3,125935.0,,8,0.12,
너의 이름은.,2017-01-04,1226263445,0.0,31845678991,121918,3914563,101,4838,일본,일본,,플러스 엔터테인먼트,12세이상관람가,신카이 마코,37.0,1.0,카미키 류노스케,카미시라이시 모네,나가사와 마사미,애니메이션,드라마,2.9,58.88,2017.01,,,,,,,844204.0,11592.0,3914563.0,3914563.0,3914563.0,1,0.15,0.15
그란 투리스모,2023-09-20,1200410739,0.0,1200410739,120125,120125,883,17744,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,,780.0,0.0,,,,액션,,3.47,88.5,2023.09,25592335.0,25777666.0,51370001.0,2117.0,1772.0,345.0,74509.0,467.0,,,,9,0.08,
말하 싶은 비밀,2023-12-13,1121475015,0.0,1121475015,118928,118928,401,7788,일본,일본,,"(주)바이포엠스튜디오,홀리가",전체관람가,,30.0,1.0,사쿠라다 히요리,,,멜로/로맨스,,4.0,82.0,2023.12,25565736.0,25759593.0,51325329.0,2301.0,1884.0,417.0,93776.0,597.0,118928.0,,,12,0.25,
스트레인지 월드,2022-11-23,968821831,0.0,968821831,112910,112910,699,8463,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"돈 홀,퀴 응우옌",1560.0,0.0,제이크 질렌할,데니스 퀘이드,자부키 영-화이트,애니메이션,,2.9,46.12,2022.11,25643889.0,25806940.0,51450829.0,2127.0,1800.0,327.0,322674.0,172.0,112910.0,112910.0,112910.0,11,0.05,
에브리씽 에브리웨어 올 앳 원스+,2023-03-01,1141910984,0.0,1141910984,111591,111591,234,8676,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"다니엘 콴,다니엘 쉐이너트",185.9,1.0,양자경,스테파니 수,키 호이 콴,액션,코미디,4.3,64.12,2023.03,25621573.0,25792708.0,51414281.0,1708.0,1484.0,224.0,238946.0,579.0,158346.5,111591.0,111591.0,3,0.08,0.13
캐리와 슈퍼콜라,2023-01-18,1028263819,0.0,1028263819,111366,111366,474,6708,한국,한국,(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"오성윤,이춘백",10.0,0.0,최정윤,엄상현,이다은,애니메이션,,3.0,72.0,2023.01,25631538.0,25798480.0,51430018.0,2346.0,2064.0,282.0,47270.0,175.0,111366.0,156248.0,111366.0,1,0.15,
에어,2023-04-05,1063344581,0.0,1063344581,110310,110310,656,16487,미국,미국,,워너브러더스 코리아(주),15세이상관람가,벤 애플렉,910.0,0.0,맷 데이먼,벤 애플렉,제이슨 베이트먼,드라마,,3.51,72.08,2023.04,25617485.0,25790670.0,51408155.0,1869.0,1625.0,244.0,62018.0,444.0,1674051.5,110310.0,110310.0,4,0.08,
가필드 더 무비,2024-05-15,985693556,0.0,985693556,109442,109442,852,3294,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,마크 딘달,780.0,1.0,크리스 프랫,사무엘 L. 잭슨,니콜라스 홀트,애니메이션,,2.9,55.5,2024.05,25536793.0,25740554.0,51277347.0,,,,382894.0,351.0,2387905.2,109442.0,109442.0,5,0.1,
블랙폰,2022-09-07,1085449042,0.0,1085449042,107715,107715,495,10809,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스콧 데릭슨,221.0,1.0,에단 호크,메이슨 테임즈,매들린 맥그로,공포(호러),,3.08,48.73,2022.09,25653998.0,25812660.0,51466658.0,2097.0,1696.0,401.0,56755.0,368.0,107715.0,107715.0,107715.0,9,0.17,
스마일,2022-10-06,1124306658,0.0,1124306658,105651,105651,455,7659,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,파커 핀,221.0,1.0,소지 베이컨,제시 어셔,카일 갈너,미스터리,공포(호러),3.67,77.27,2022.1,25649509.0,25810117.0,51459626.0,1974.0,1646.0,328.0,425019.0,429.0,105651.0,105651.0,105651.0,10,0.1,0.17
뉴 노멀,2023-11-08,987958873,0.0,987958873,103037,103037,546,10934,한국,한국,언파스튜디오,(주)바이포엠스튜디오,15세이상관람가,정범식,38.0,0.0,최지우,이유미,최민호,스릴러,드라마,3.05,75.5,2023.11,25572695.0,25764381.0,51337076.0,2183.0,1895.0,288.0,116346.0,2075.0,103037.0,103037.0,103037.0,11,0.25,0.12
비키퍼,2024-04-03,962290905,0.0,962290905,102969,102969,713,13022,미국,미국,,(주)바른손이앤에이,청소년관람불가,데이비드 에이어,520.0,1.0,제이슨 스타뎀,조쉬 허처슨,제레미 아이언스,액션,스릴러,2.84,46.9,2024.04,25541855.0,25743298.0,51285153.0,,,,612436.0,85.0,667462.3,407665.0,102969.0,4,0.08,0.08
엘비스,2022-07-13,1098745318,0.0,1098745318,101522,101522,665,10094,미국,미국,,워너브러더스 코리아(주),15세이상관람가,바즈 루어만,1105.0,1.0,오스틴 버틀러,톰 행크스,올리비아 데,드라마,,3.7,87.2,2022.07,25708650.0,25865796.0,51574446.0,1801.0,1504.0,297.0,1582681.0,1573.0,101522.0,101522.0,101522.0,7,0.05,
