title,date
Exxon Just Declares A Victory. ,1989-08-01
Domestic Oil Production Pressed. In The Drilling Of New 42 ... ,1989-08-01
Indons Not Keen On Raising Oil Quotas. ,1989-08-01
Oil Spill Post Given Connell. ,1989-08-01
Oil Prices Fall In Hurricane's Wake. ,1989-08-02
Oil Spill Planning Must Begin Today. ,1989-08-02
Commodities ,1989-08-02
Bangor Daily News ,1989-08-02
Billion Charge From Irs. Exxon And Texaco To Challenge Claim ,1989-08-03
Caltex Embarks On Big Restructuring. ,1989-08-03
Many Culprits Set Stage For Alaska Oil Spill. ,1989-08-05
